Gráficos Listagem;;;;;;;;;;;;;;;;;;;;;
Data e Hora;Temperatura Méd.;Temperatura Mín.;Temperatura Máx.;Chuva;Vento;Rajada;Direção do Vento;Direção do Vento (Graus);Umidade;Luminosidade;Radiação;UV;Ponto de Orvalho;Pressão;Temperatura do solo;Umidade do solo;Temperatura foliar;Umidade foliar;Latitude;Longitude;Estação
22/05/2026 09:00;;;;;;;;null;;;0;;;930,06;;;;;-25,48738;-49,23925;1814 - Estação Meteorológica
22/05/2026 10:00;15,2;14,8;16,1;0;5,19;24,2;S;164;64,25;62751,67;495;4,11;8,46;929,67;;;;;-26,24747;-49,34742;1814 - Estação Meteorológica
22/05/2026 11:00;16,56;16;17,2;0;4,49;28,2;SE;128;59,5;77376,81;611;5,41;8,61;928,68;;;;;-26,24753;-49,34748;1814 - Estação Meteorológica CEPLAN
22/05/2026 12:00;16,63;16,2;17,5;0;6,21;64,5;SE;138;60,8;75331;595;5,12;9,01;927,61;;;;;-26,24757;-49,34737;1814 - Estação Meteorológica CEPLAN
22/05/2026 13:00;15,11;14,2;16;0;5,12;28,2;L;104;71,4;38599,96;304;2,04;9,91;927,48;;;;;-26,2476;-49,34738;1814 - Estação Meteorológica CEPLAN
22/05/2026 14:00;13,29;12,9;13,9;0;4,08;40,3;SE;142;79,89;13712,34;108;0,07;9,87;926,88;;;;;-26,24753;-49,34731;1814 - Estação Meteorológica CEPLAN
22/05/2026 15:00;12,74;11,5;13,4;0;3,53;121;SE;135;78,5;11669,71;92;0,14;9,06;927,44;;;;;-26,24752;-49,34747;1814 - Estação Meteorológica CEPLAN
22/05/2026 16:00;11,8;11,3;12,5;0;3,67;28,2;S;159;85,73;3166,07;25;0;9,47;928,73;;;;;-26,24721;-49,34736;1814 - Estação Meteorológica CEPLAN
22/05/2026 17:00;10,96;10,7;11,3;0;4,61;16,1;SE;126;90;321,81;2;0;9,4;928,73;;;;;-26,24756;-49,34764;1814 - Estação Meteorológica CEPLAN
22/05/2026 18:00;10,68;10,6;10,8;0;3,23;20,2;SE;129;92,5;0;0;0;9,52;928,82;;;;;-26,248;-49,34852;1814 - Estação Meteorológica CEPLAN
22/05/2026 19:00;10,66;10,6;10,7;0;2,72;16,1;L;107;92,62;0;0;0;9,52;929,07;;;;;-26,24742;-49,34752;1814 - Estação Meteorológica CEPLAN
22/05/2026 20:00;10,56;10,5;10,7;0;2,27;8,1;L;107;93,5;0;0;0;9,56;928,92;;;;;-26,24747;-49,34741;1814 - Estação Meteorológica CEPLAN
22/05/2026 21:00;10,63;10,5;10,7;0;0,58;4;SE;157;92,56;0;0;0;9,5;928,69;;;;;-26,24753;-49,34723;1814 - Estação Meteorológica CEPLAN
22/05/2026 22:00;10,64;10,5;10,8;0;0,56;8,1;SE;117;92,3;0;0;0;9,46;928,63;;;;;-26,24744;-49,34729;1814 - Estação Meteorológica CEPLAN
22/05/2026 23:00;10,7;10,5;10,9;0;1,27;8,1;SE;153;89,71;0;0;0;9,1;928,43;;;;;-26,24754;-49,34754;1814 - Estação Meteorológica CEPLAN
23/05/2026 00:00;10,2;10,1;10,4;0;1,73;16,1;S;191;92,8;0;0;0;9,11;928,34;;;;;-26,24761;-49,34749;1814 - Estação Meteorológica CEPLAN
23/05/2026 01:00;9,85;9,7;10;0;2,35;20,2;SE;113;95,45;0;0;0;9,15;928,12;;;;;-26,24761;-49,34749;1814 - Estação Meteorológica CEPLAN
23/05/2026 02:00;9,45;7,4;9,7;0;1,02;12,1;SE;144;95,64;0;0;0;8,78;927,73;;;;;-26,24754;-49,34746;1814 - Estação Meteorológica CEPLAN
23/05/2026 03:00;9,59;9,5;9,7;6,6;0,36;8,1;S;174;95,27;0;0;0;8,85;927,68;;;;;-26,2475;-49,34745;1814 - Estação Meteorológica CEPLAN
23/05/2026 04:00;9,61;9,6;9,7;0,3;0,5;8,1;SE;137;95,88;0;0;0;8,99;927,52;;;;;-26,24772;-49,34772;1814 - Estação Meteorológica CEPLAN
23/05/2026 05:00;9,69;9,5;10;0;0,77;8,1;L;84;96;0;0;0;9,09;926,97;;;;;-26,24772;-49,34772;1814 - Estação Meteorológica CEPLAN
23/05/2026 06:00;10,2;10,1;10,3;0;0,81;4;O;273;95,6;63,41;0;0;9,52;927,34;;;;;-26,24742;-49,3474;1814 - Estação Meteorológica CEPLAN
23/05/2026 07:00;10,39;10,2;10,8;0;1,25;4;O;264;95,8;2036,46;16;0;9,75;927,55;;;;;-26,24748;-49,34732;1814 - Estação Meteorológica CEPLAN
23/05/2026 08:00;11,39;10,8;11,8;0;0,81;8,1;O;261;92,12;11163,25;88;0,01;10,16;927,7;;;;;-26,24752;-49,3473;1814 - Estação Meteorológica CEPLAN
23/05/2026 09:00;12,6;11,9;13,4;0;1,25;4;O;255;90;14219,33;112;0,04;11;927,85;;;;;-26,24752;-49,3473;1814 - Estação Meteorológica CEPLAN
23/05/2026 10:00;13,22;13;13,5;0;0,9;8,1;S;180;89,89;17664,69;139;0,26;11,62;927,77;;;;;-26,24766;-49,34743;1814 - Estação Meteorológica CEPLAN
23/05/2026 11:00;14,58;14;15,2;0;1,66;12,1;SE;117;84,25;24556,91;194;0,94;11,92;927,11;;;;;-26,24752;-49,34727;1814 - Estação Meteorológica CEPLAN
23/05/2026 12:00;14,01;13,6;14,6;0;3,1;16,1;S;181;87,4;27231,08;215;1,02;11,94;926,64;;;;;-26,24752;-49,34727;1814 - Estação Meteorológica CEPLAN
23/05/2026 13:00;13,51;13,4;13,7;0;2,99;16,1;SE;151;87,9;16661,56;131;0,12;11,57;925,95;;;;;-26,24769;-49,34757;1814 - Estação Meteorológica CEPLAN
23/05/2026 14:00;13,64;13,2;13,9;0;4,15;16,1;SE;146;88,57;15314;120;0,11;11,76;925,57;;;;;-26,24748;-49,34743;1814 - Estação Meteorológica CEPLAN
23/05/2026 15:00;13,14;12,9;13,5;0;0,86;8,1;SE;116;89,5;9738,66;76;0;11,46;925,4;;;;;-26,24763;-49,34756;1814 - Estação Meteorológica CEPLAN
23/05/2026 16:00;13,64;13,5;13,9;0;1,01;8,1;SE;143;89,38;4710,18;37;0;11,91;925,27;;;;;-26,24761;-49,34813;1814 - Estação Meteorológica CEPLAN
23/05/2026 17:00;13,11;12,6;13,7;0;1,56;12,1;S;189;92,14;620,56;4;0;11,87;925,5;;;;;-26,24756;-49,34715;1814 - Estação Meteorológica CEPLAN
23/05/2026 18:00;12,32;12,1;12,6;0;0,52;8,1;SE;137;93,1;0,1;0;0;11,24;925,73;;;;;-26,24744;-49,3474;1814 - Estação Meteorológica CEPLAN
23/05/2026 19:00;12,22;12,1;12,3;0;0,4;4;L;94;94,1;0;0;0;11,33;925,77;;;;;-26,24737;-49,3474;1814 - Estação Meteorológica CEPLAN
23/05/2026 20:00;12,36;12,3;12,5;0;0,62;4;L;98;94,55;0;0;0;11,52;925,83;;;;;-26,2475;-49,34735;1814 - Estação Meteorológica CEPLAN
23/05/2026 21:00;12,52;12,4;12,6;0;0,5;4;L;107;95;0;0;0;11,72;925,81;;;;;-26,24765;-49,34743;1814 - Estação Meteorológica CEPLAN
23/05/2026 22:00;12,61;12,5;12,7;0;0,58;4;SE;113;95;0;0;0;11,81;925,66;;;;;-26,24738;-49,34733;1814 - Estação Meteorológica CEPLAN
23/05/2026 23:00;12,51;12,4;12,6;0;0,37;4;SE;113;95,92;0;0;0;11,89;925,48;;;;;-26,24738;-49,34733;1814 - Estação Meteorológica CEPLAN
24/05/2026 00:00;12,81;12,6;12,9;0;0,51;4;SE;117;96;0;0;0;12,21;925,13;;;;;-26,24743;-49,34722;1814 - Estação Meteorológica CEPLAN
24/05/2026 01:00;12,84;12,8;13;0;0,32;4;SE;117;96,6;0;0;0;12,3;924,95;;;;;-26,24757;-49,34754;1814 - Estação Meteorológica CEPLAN
24/05/2026 02:00;13,04;13;13,1;0;0,36;4;SE;117;97;0;0;0;12,54;924,59;;;;;-26,24757;-49,34754;1814 - Estação Meteorológica CEPLAN
24/05/2026 03:00;12,99;12,9;13,1;0;0,8;4;SE;117;96,88;0;0;0;12,48;924,04;;;;;-26,24746;-49,34729;1814 - Estação Meteorológica CEPLAN
24/05/2026 04:00;12,94;12,9;13;0;0,4;4;SE;117;97;0;0;0;12,44;923,91;;;;;-26,24746;-49,34729;1814 - Estação Meteorológica CEPLAN
24/05/2026 05:00;13;12,9;13,1;0;0,47;4;SE;117;97;0;0;0;12,5;924,06;;;;;-26,2476;-49,34731;1814 - Estação Meteorológica CEPLAN
24/05/2026 06:00;13,17;13,1;13,2;0;0,4;4;SE;150;97;25,99;0;0;12,67;924,47;;;;;-26,24761;-49,3475;1814 - Estação Meteorológica CEPLAN
24/05/2026 07:00;13,32;13,2;13,5;0;1,12;4;SE;152;96,56;2119,91;16;0;12,76;924,88;;;;;-26,24762;-49,34729;1814 - Estação Meteorológica CEPLAN
24/05/2026 08:00;13,83;13,5;14,1;0;0,29;4;SE;153;96,57;4968,33;39;0;13,29;925,06;;;;;-26,2479;-49,34712;1814 - Estação Meteorológica CEPLAN
24/05/2026 09:00;14,31;14,1;14,5;1,2;1,16;4;SE;153;95,38;8664,92;68;0;13,59;925,31;;;;;-26,24751;-49,34736;1814 - Estação Meteorológica CEPLAN
24/05/2026 10:00;15,19;14,6;15,5;0;0,72;4;SE;156;92,33;10273,19;81;0,01;13,94;925,26;;;;;-26,24744;-49,34728;1814 - Estação Meteorológica CEPLAN
24/05/2026 11:00;15,52;15,1;15,7;1,2;0,94;8,1;S;188;91,67;15878,18;125;0,12;14,15;924,73;;;;;-26,24748;-49,3475;1814 - Estação Meteorológica CEPLAN
24/05/2026 12:00;15,89;15,7;16;3,9;1,29;8,1;SO;219;92,2;16177,55;127;0,32;14,62;924,29;;;;;-26,24757;-49,34736;1814 - Estação Meteorológica CEPLAN
24/05/2026 13:00;16,04;15,8;16,6;2,7;1,71;8,1;SO;224;92,62;20777,89;164;0,68;14,84;923,96;;;;;-26,24761;-49,34722;1814 - Estação Meteorológica CEPLAN
24/05/2026 14:00;16,01;15,6;16,4;2,1;0,63;12,1;SO;206;93,57;8544,66;67;0;14,99;923,69;;;;;-26,24761;-49,34721;1814 - Estação Meteorológica CEPLAN
24/05/2026 15:00;15,01;14,3;16,5;2,1;2,02;32,3;S;173;95,42;7508,62;59;0,15;14,3;923,89;;;;;-26,24761;-49,34721;1814 - Estação Meteorológica CEPLAN
24/05/2026 16:00;14,08;14;14,2;0,3;2,17;16,1;SE;128;95,88;4539,45;35;0;13,45;923,97;;;;;-26,24754;-49,34746;1814 - Estação Meteorológica CEPLAN
24/05/2026 17:00;13,46;13,2;13,8;0;1,3;28,2;SE;129;93,56;948,33;7;0,06;12,44;924,36;;;;;-26,24794;-49,34807;1814 - Estação Meteorológica CEPLAN
24/05/2026 18:00;13,37;13,3;13,4;0;1,34;8,1;SE;148;94,78;0,19;0;0;12,54;924,99;;;;;-26,24749;-49,34744;1814 - Estação Meteorológica CEPLAN
24/05/2026 19:00;13,35;13,3;13,4;0;2,07;12,1;L;103;94,62;0;0;0;12,51;925,63;;;;;-26,24756;-49,34782;1814 - Estação Meteorológica CEPLAN
24/05/2026 20:00;13,28;13,2;13,3;0;2,33;20,2;NE;55;94,56;0;0;0;12,43;926,25;;;;;-26,24756;-49,34761;1814 - Estação Meteorológica CEPLAN
24/05/2026 21:00;13,11;13;13,2;0;2,55;20,2;L;103;93,89;0;0;0;12,19;926,55;;;;;-26,24748;-49,34755;1814 - Estação Meteorológica CEPLAN
24/05/2026 22:00;12,91;12,9;13;0;2,11;16,1;SE;120;95,5;0;0;0;12,21;926,62;;;;;-26,24713;-49,34746;1814 - Estação Meteorológica CEPLAN
24/05/2026 23:00;12,91;12,9;13;0;1,38;8,1;SE;116;96,29;0;0;0;12,34;926,52;;;;;-26,24713;-49,34746;1814 - Estação Meteorológica CEPLAN
25/05/2026 00:00;12,8;12,7;12,9;0;0,99;16,1;L;89;96,89;0;0;0;12,29;926,25;;;;;-26,24756;-49,34763;1814 - Estação Meteorológica CEPLAN
25/05/2026 01:00;12,84;12,7;12,9;0;0,56;12,1;SE;132;97,4;0;0;0;12,42;926,09;;;;;-26,24743;-49,34796;1814 - Estação Meteorológica CEPLAN
25/05/2026 02:00;12,94;12,9;13;0;0,94;8,1;S;159;96,56;0;0;0;12,4;925,85;;;;;-26,24757;-49,34748;1814 - Estação Meteorológica CEPLAN
25/05/2026 03:00;12,85;10,1;13,3;0;1,03;80,6;L;85;94,73;0;0;0,18;12,02;925,54;;;;;-26,24744;-49,34732;1814 - Estação Meteorológica CEPLAN
25/05/2026 04:00;13,21;13,1;13,3;0;2,07;24,2;L;81;93,62;0;0;0;12,24;925,41;;;;;-26,24747;-49,34723;1814 - Estação Meteorológica CEPLAN
25/05/2026 05:00;13,13;13,1;13,2;0;0,86;12,1;NE;64;94,43;0;0;0;12,27;925,55;;;;;-26,24744;-49,34721;1814 - Estação Meteorológica CEPLAN
25/05/2026 06:00;13,1;13;13,2;0;1,13;20,2;NE;47;94,73;58,07;0;0;12,27;926,07;;;;;-26,24747;-49,34709;1814 - Estação Meteorológica CEPLAN
25/05/2026 07:00;13,31;13,2;13,5;0;1,83;20,2;L;84;94,36;2756,82;21;0;12,45;926,54;;;;;-26,24772;-49,34767;1814 - Estação Meteorológica CEPLAN
25/05/2026 08:00;13,97;13,6;14,5;0;1,7;12,1;L;75;92,11;14257,98;112;0,09;12,7;927,16;;;;;-26,24752;-49,34742;1814 - Estação Meteorológica CEPLAN
25/05/2026 09:00;15,11;14,5;15,5;0;2,78;36,3;L;98;86,67;25156,32;198;0,91;12,89;927,48;;;;;-26,24728;-49,34753;1814 - Estação Meteorológica CEPLAN
25/05/2026 10:00;15,5;15,2;15,7;0;5,3;24,2;L;89;86;28918,46;228;1,16;13,17;927,16;;;;;-26,24754;-49,34772;1814 - Estação Meteorológica CEPLAN
25/05/2026 11:00;15,94;15,8;16,2;0;2,9;20,2;NE;42;85,1;22242,58;175;0,57;13,46;926,74;;;;;-26,2476;-49,34747;1814 - Estação Meteorológica CEPLAN
25/05/2026 12:00;16,27;16;16,7;0;2,99;16,1;NE;63;86,14;18348,14;144;0,21;13,97;926,36;;;;;-26,2474;-49,34708;1814 - Estação Meteorológica CEPLAN
25/05/2026 13:00;15,07;14,4;16,6;0;3,45;20,2;S;166;91,56;16525,39;130;0,09;13,68;925,64;;;;;-26,24765;-49,34748;1814 - Estação Meteorológica CEPLAN
25/05/2026 14:00;14,36;13,9;14,5;0;2,53;16,1;S;176;94,64;12070,85;95;0,21;13,51;925,59;;;;;-26,24756;-49,3472;1814 - Estação Meteorológica CEPLAN
25/05/2026 15:00;14,27;14,1;14,4;0;1,84;12,1;S;179;96,57;9507,21;75;0;13,73;925,8;;;;;-26,24741;-49,3474;1814 - Estação Meteorológica CEPLAN
25/05/2026 16:00;14,38;14,3;14,5;0;0,54;12,1;S;159;96;4356,71;34;0,05;13,77;925,69;;;;;-26,24741;-49,34748;1814 - Estação Meteorológica CEPLAN
25/05/2026 17:00;14,27;14,2;14,3;0;1,38;12,1;SE;141;96;527,33;4;0,07;13,61;925,63;;;;;-26,24756;-49,34742;1814 - Estação Meteorológica CEPLAN
25/05/2026 18:00;14,2;14,2;14,2;0;2,25;8,1;S;177;97;0;0;0;13,7;925,91;;;;;-26,24752;-49,34737;1814 - Estação Meteorológica CEPLAN
25/05/2026 19:00;14,28;14,2;14,4;0;1,21;8,1;SE;156;97;0;0;0;13,78;926,24;;;;;-26,24749;-49,34739;1814 - Estação Meteorológica CEPLAN
25/05/2026 20:00;14,67;14,4;14,9;0;0,97;12,1;SE;150;94,8;0;0;0;13,82;926,45;;;;;-26,24743;-49,34743;1814 - Estação Meteorológica CEPLAN
25/05/2026 21:00;14,24;14,1;14,5;0;0,95;8,1;SE;130;96,55;0;0;0;13,69;926,74;;;;;-26,24751;-49,34735;1814 - Estação Meteorológica CEPLAN
25/05/2026 22:00;14,41;14,2;14,6;0;0,92;8,1;L;108;96,09;0;0;0;13,79;926,55;;;;;-26,24752;-49,34742;1814 - Estação Meteorológica CEPLAN
25/05/2026 23:00;14,22;14,2;14,3;0;1,21;8,1;SE;122;96,83;0;0;0;13,7;926,55;;;;;-26,24765;-49,34741;1814 - Estação Meteorológica CEPLAN
26/05/2026 00:00;14,36;14,2;14,7;0;1,37;12,1;SO;208;96,4;0;0;0;13,77;926,21;;;;;-26,24754;-49,34749;1814 - Estação Meteorológica CEPLAN
26/05/2026 01:00;14,7;14,6;14,8;0;3,4;16,1;O;287;93;0;0;0;13,6;925,97;;;;;-26,24752;-49,34733;1814 - Estação Meteorológica CEPLAN
26/05/2026 02:00;14,51;14,5;14,6;0;2,42;16,1;O;261;94;0;0;0;13,51;925,57;;;;;-26,24752;-49,34733;1814 - Estação Meteorológica CEPLAN
26/05/2026 03:00;14,6;14,6;14,6;0;2,75;16,1;O;276;94,36;0;0;0;13,67;925,56;;;;;-26,24755;-49,34777;1814 - Estação Meteorológica CEPLAN
